run,group,mult,beta,lr,seed,in_eval_ll,heldout_eval_ll,latent.total_openness,latent.frac_open_s0p03,latent.frac_open_s0p1,latent.frac_open_s0p5,latent.frac_open_s0p9,latent.frac_open_s0p97,latent.mean_sigma,latent.min_sigma,latent.n_eff_open,latent.n_eff_open_frac,latent.sigma_p10,latent.sigma_median,latent.sigma_p90,latent.n,update_net_obs.total_openness,update_net_obs.frac_open_s0p03,update_net_obs.frac_open_s0p1,update_net_obs.frac_open_s0p5,update_net_obs.frac_open_s0p9,update_net_obs.frac_open_s0p97,update_net_obs.mean_sigma,update_net_obs.min_sigma,update_net_obs.n_eff_open,update_net_obs.n_eff_open_frac,update_net_obs.sigma_p10,update_net_obs.sigma_median,update_net_obs.sigma_p90,update_net_obs.n,update_net_latent.total_openness,update_net_latent.frac_open_s0p03,update_net_latent.frac_open_s0p1,update_net_latent.frac_open_s0p5,update_net_latent.frac_open_s0p9,update_net_latent.frac_open_s0p97,update_net_latent.mean_sigma,update_net_latent.min_sigma,update_net_latent.n_eff_open,update_net_latent.n_eff_open_frac,update_net_latent.sigma_p10,update_net_latent.sigma_median,update_net_latent.sigma_p90,update_net_latent.n,update_net_subj.total_openness,update_net_subj.frac_open_s0p03,update_net_subj.frac_open_s0p1,update_net_subj.frac_open_s0p5,update_net_subj.frac_open_s0p9,update_net_subj.frac_open_s0p97,update_net_subj.mean_sigma,update_net_subj.min_sigma,update_net_subj.n_eff_open,update_net_subj.n_eff_open_frac,update_net_subj.sigma_p10,update_net_subj.sigma_median,update_net_subj.sigma_p90,update_net_subj.n,choice_net_latent.total_openness,choice_net_latent.frac_open_s0p03,choice_net_latent.frac_open_s0p1,choice_net_latent.frac_open_s0p5,choice_net_latent.frac_open_s0p9,choice_net_latent.frac_open_s0p97,choice_net_latent.mean_sigma,choice_net_latent.min_sigma,choice_net_latent.n_eff_open,choice_net_latent.n_eff_open_frac,choice_net_latent.sigma_p10,choice_net_latent.sigma_median,choice_net_latent.sigma_p90,choice_net_latent.n,choice_net_subj.total_openness,choice_net_subj.frac_open_s0p03,choice_net_subj.frac_open_s0p1,choice_net_subj.frac_open_s0p5,choice_net_subj.frac_open_s0p9,choice_net_subj.frac_open_s0p97,choice_net_subj.mean_sigma,choice_net_subj.min_sigma,choice_net_subj.n_eff_open,choice_net_subj.n_eff_open_frac,choice_net_subj.sigma_p10,choice_net_subj.sigma_median,choice_net_subj.sigma_p90,choice_net_subj.n
61873594,updnet-ratio-100mice@20260703-200122,1,0.0003,0.01,0,0.7235420346260071,0.7164381742477417,3.6471762073478105,0.6,0.6,0.8,0.8,0.8,0.2705875486305357,0.009479663724303243,3.921092134946029,0.7842184269892056,0.011307939717769624,0.017103077301979065,0.7249446494674684,5,3.443614315850734,0.1,0.2,0.4,0.4,0.4,0.6557324906980991,0.022264902869462967,3.9513743179410024,0.3951374317941002,0.05256986824631692,0.9987522823905944,1.0000940067863464,10,3.558574074234963,0,0,0.16,0.2,0.24,0.8578388859128951,0.10596062375068664,5.090784542229336,0.20363138168917344,0.33854092789649964,0.9996878964996336,1.0006291968917846,25,1.4645513882684709,0,0,0.05,0.15,0.15,0.9270053958690166,0.2324731065130234,2.5465982179740227,0.12732991089870113,0.7577320559120178,0.9998564882373808,1.0005887253379822,20,0.9858431608837844,0.2,0.2,0.2,0.2,0.2,0.8034551846033334,0.019762325490117073,1.0114382535123574,0.20228765070247148,0.40967199748218064,0.9998580081558228,1.0018388612365725,5,0.012085776538849012,0,0,0,0,0,0.9975732578134536,0.9928392036056518,2.297183596838676,0.574295899209669,0.9941586716270446,0.9975375099277496,1.001016442308426,4
8646dfc2,updnet-ratio-100mice@20260703-200122,1,0.0003,0.01,0,0.7252078056335449,0.719312310218811,3.6325047373092176,0.6,0.6,0.8,0.8,0.8,0.27350694147706034,0.012051134759783744,3.913117648140051,0.7826235296280103,0.012921454960703849,0.014975832233428956,0.7305202109909059,5,4.255686717175245,0,0.1,0.5,0.6,0.6,0.574453294480443,0.05368652699351311,5.4211497819902155,0.5421149781990215,0.10661082586109638,0.5731355114078521,1.0000224216079712,10,3.1543113364744184,0,0,0.16,0.16,0.2,0.8738486684656143,0.13104869557380677,4.238865323238644,0.16955461292954577,0.28453882170677186,0.9994656307792664,1.0000498397445678,25,2.001297647809982,0,0,0.1,0.2,0.2,0.8999928264117241,0.2246380610561371,3.216492598685051,0.16082462993425256,0.6001273973083496,0.9996665580368042,1.0000802261924744,20,0.9848512326449158,0.2,0.2,0.2,0.2,0.2,0.8030297534710169,0.022836390340924263,1.0157728254171967,0.20315456508343935,0.41198802834212783,0.9988573057746888,0.9988720281219482,5,0.0007667217063904719,0,0,0,0,0,1.000412793288231,0.999408648738861,1.5451714137539383,0.38629285343848463,0.9995334429836272,1.0000018937683106,1.0016208632087709,4
c74f4556,updnet-ratio-100mice@20260703-200122,1,0.0003,0.01,1,0.716021716594696,0.7133961915969849,2.939554576135278,0.4,0.6,0.6,0.6,0.6,0.4121044123715163,0.011877022141814231,2.999606774203908,0.5999213548407816,0.012090167606472968,0.03616216538310051,1.000044523010254,5,2.6997529723763463,0,0.2,0.3,0.4,0.4,0.7301648980176448,0.043223948607444766,3.3037198344649203,0.33037198344649205,0.06793803034186363,0.9991643889045716,1.0002035243606568,10,2.584749088435174,0,0,0.12,0.16,0.16,0.8966778744554519,0.13704395426273347,3.446567438960465,0.1378626975584186,0.48105293346405054,0.9998121125793455,1.000019799003601,25,2.175613743777275,0,0,0.1,0.2,0.2,0.8912529578602314,0.18773013485431672,3.2729771803859475,0.16364885901929738,0.4877379877662658,0.9998915953731536,1.0000300152397157,20,0.9983739600598814,0.2,0.2,0.2,0.2,0.2,0.8003252079880238,0.017550965229272842,1.0325754259922877,0.20651508519845752,0.40748403725981713,0.9939833147621154,0.999072693119049,5,0.016855459423065322,0,0,0,0,0,0.9960396303033828,0.987962172756195,1.8097164693610897,0.4524291173402724,0.9907046063041688,0.9975911839103698,1.0001334114170075,4
9703d37e,updnet-ratio-100mice@20260703-200122,1,0.0003,0.01,1,0.7169731259346008,0.718635618686676,3.882810455662012,0.4,0.8,0.8,0.8,0.8,0.2234379088675976,0.011338483000397682,3.998746236701173,0.7997492473402346,0.013496223295331,0.03327972201466561,0.6223333968019487,5,2.9470913839268684,0,0.1,0.3,0.5,0.5,0.7053186869418621,0.04885929955005646,3.901081836946134,0.3901081836946135,0.10316187498927117,0.9105421764945985,1.000028948316574,10,3.1561639518213274,0,0,0.16,0.2,0.24,0.8738317657804489,0.1345707340335846,4.425854907820281,0.17703419631281123,0.33032314611434943,0.9998131854629516,1.000339065322876,25,1.7611877097654345,0,0,0.1,0.2,0.2,0.9119994541800022,0.20153689516544343,3.0367120714348927,0.15183560357174464,0.7224582178688049,0.999924973974228,1.0002961857414243,20,0.9838872504502536,0.2,0.2,0.2,0.2,0.2,0.8032225499099492,0.0217434758490324,1.0115332809431752,0.20230665618863505,0.4120699944144487,0.9980102641677856,0.9994829042053224,5,0.001891117305755752,0,0,0,0,0,0.9996157599782944,0.9987583024597168,1.9222852283927927,0.4805713070981982,0.9989637596702576,0.9996752901172636,1.0002201361751557,4
87018bd0,updnet-ratio-100mice@20260703-200122,1,0.001,0.01,0,0.7216087579727173,0.7181903719902039,2.8645772117441894,0.2,0.6,0.6,0.6,0.6,0.42708524634897704,0.026246163452267646,2.998401821191254,0.5996803642382508,0.028848769719004633,0.07644082737922668,0.9999953134155274,5,2.0870222952890396,0,0,0.2,0.3,0.3,0.7913138477301598,0.15280929339885713,2.8340319260507805,0.28340319260507807,0.21248094720602037,0.9998238844966888,1.0000290377235412,10,1.412628701395989,0,0,0.08,0.08,0.12,0.9435206641054152,0.2205000532960892,2.105314268646363,0.08421257074585452,0.9711331112480164,0.999989555606842,1.0001195294952394,25,0.5641699086189277,0,0,0,0.05,0.1,0.9717924667692184,0.5207849605178833,1.3542008711232665,0.06771004355616331,0.9887375636196136,0.9998428685760498,1.000001571903229,20,0.9599066486072542,0,0.2,0.2,0.2,0.2,0.8081805987453461,0.04060591889381409,1.0010685439892677,0.20021370879785355,0.4241663260555268,0.999980495700836,1.0004095895385745,5,0.0009169525718690784,0,0,0,0,0,0.9997707618570328,0.99962256980896,3.3458684582003575,0.8364671145500894,0.999663160572052,0.9997772140598296,0.999873201379776,4
a1395e7f,updnet-ratio-100mice@20260703-200122,1,0.001,0.01,1,0.7123323082923889,0.7104085087776184,3.357582275128961,0.2,0.6,0.6,0.8,0.8,0.328491362387538,0.02805887108504772,3.779698527417028,0.7559397054834056,0.03276239951908588,0.0636393664574623,0.8043841703033447,5,2.1853410211133957,0,0,0.2,0.3,0.3,0.7814899979329109,0.11854876709938048,2.9167501842143713,0.2916750184214371,0.20440312607049943,0.9995191557502746,1.0000241322612764,10,1.9192135394287115,0,0,0.08,0.12,0.16,0.9232904822921753,0.21481035781860353,3.126900677740889,0.12507602710963556,0.7110280020332337,0.9998913271522522,1.0000922067260742,25,0.4877516008567816,0,0,0,0.05,0.05,0.9756763650274276,0.5255765779113769,1.0568424738337387,0.052842123691686935,0.9977065069770812,0.99998079372406,1.0001821501350403,20,0.9642996822905542,0,0.2,0.2,0.2,0.2,0.8072224794125556,0.03711780292749405,1.0029453295037438,0.20058906590074876,0.4219668595290184,0.9993420703506468,1.000229750404358,5,0.0046005792236329945,0,0,0,0,0,0.9988498551940918,0.99821077419281,3.0139632419833946,0.7534908104958487,0.9982259197330474,0.9986956579780578,0.9995971484279632,4
c4294c47,updnet-ratio-100mice@20260703-200122,1,0.001,0.01,1,0.713142991065979,0.7173814177513123,2.876755203814507,0.2,0.6,0.6,0.6,0.6,0.4246598733758927,0.025959813425540924,2.99902999159958,0.599805998319916,0.028404265472888948,0.06521403921604156,1.0000326736068723,5,2.1760094046926497,0,0,0.3,0.3,0.3,0.7823994873261452,0.1452620936727524,2.907271028113387,0.2907271028113387,0.21804843528032303,0.999899314174652,1.000000040063858,10,1.451943912830353,0,0,0.08,0.08,0.08,0.9419488246536254,0.21102388335227967,2.0284036023209473,0.0811361440928379,0.9927007777786254,0.9999965293502808,1.0000762565231325,25,0.5054544647979742,0,0,0,0.05,0.05,0.974765647778511,0.5210276110267639,1.1117593986227998,0.05558796993113999,0.9950514061546324,0.999987856874466,1.000048766860962,20,0.9577608851206304,0,0.2,0.2,0.2,0.2,0.8085379636085033,0.04269923029303551,1.000961318633661,0.2001922637267322,0.4254542133009434,0.999953196773529,1.000231061706543,5,0.0004887716674805143,0,0,0,0,0,0.9999576969242095,0.9995112283325196,1,0.25,0.9996580345726012,1.0000171525573731,1.0002097947692872,4
6726abbb,updnet-ratio-100mice@20260703-200122,1,0.003,0.01,0,0.710859477519989,0.708413302898407,0.9175651704382898,0,0.2,0.2,0.2,0.2,0.8165192900395393,0.08263757211923599,1.000442035684963,0.2000884071369926,0.4495354740118981,0.9999149305915832,1.0000881297683717,5,1.5310306903648376,0,0,0.2,0.2,0.2,0.8469059927558898,0.16618295145988465,1.9842335349248224,0.19842335349248225,0.28913729024887086,0.9999994201755524,1.000012670288086,10,0.0026338213539129907,0,0,0,0,0,0.9999000055885314,0.998453603515625,2.566358923178906,0.10265435692715624,0.9997831447219848,0.99999939037323,1.0000182969665528,25,0.0029774609947209596,0,0,0,0,0,0.999879593977928,0.9981093270874024,2.1608099541134056,0.10804049770567029,0.9997374577617644,0.9999998970127104,1.0000578744506836,20,0.9262325053524972,0,0.2,0.2,0.2,0.2,0.8147786704993247,0.07529888434171676,1.0033134878088938,0.20066269756177876,0.4448080120778084,0.9993969066238404,1.0000729663467407,5,0.002898256988525527,0,0,0,0,0,0.9993870122528076,0.9980818493461608,1.9954145677643311,0.4988536419410829,0.9984628481960296,0.9995099468326568,1.0002128286457062,4
a9972d14,updnet-ratio-100mice@20260703-200122,1,0.003,0.01,0,0.7109900116920471,0.708630383014679,0.932823548398018,0,0.2,0.2,0.2,0.2,0.8134354664182663,0.06720247996807098,1.000055807512387,0.20001116150247747,0.44031611813068394,0.9999879462814332,1.0000003082847595,5,1.4915647129440308,0,0,0.2,0.2,0.2,0.8508471531963349,0.19828398657798768,1.988820963576976,0.19888209635769755,0.2989675147628784,0.9999994797801972,1.0000134332275392,10,0.0024061504745488405,0,0,0,0,0,0.9999139483070374,0.9990740878677368,2.9965889728967103,0.11986355891586842,0.9996882183647156,1.0000003440475465,1.0000075919723512,25,0.001839388771057493,0,0,0,0,0,0.9999191297388076,0.9982558353042602,1.1099640709797396,0.05549820354898698,0.9999825341796874,1.0000005824661256,1.0000409944152833,20,0.9276479342103008,0,0.2,0.2,0.2,0.2,0.8144704131579399,0.07374198121786117,1.003002427246949,0.20060048544938985,0.4439182160592079,0.9996806247329711,0.9998951537704468,5,0.00028572580337538067,0,0,0,0,0,0.9999776495790482,0.9998437030410766,2.26420504667,0.5660512616675,0.9998590810394288,0.999935285577774,1.0001301093196868,4
418e7d2d,updnet-ratio-100mice@20260703-200122,1,0.003,0.01,1,0.7028821706771851,0.7077284455299377,0.9160311419177056,0,0.2,0.2,0.2,0.2,0.8168333528733254,0.0839725671505928,1.00000809815987,0.200001619631974,0.4503820566630364,1.000005768070221,1.0001014096832277,5,1.548024244132042,0,0,0.2,0.2,0.2,0.8452077089047432,0.15958067906856538,1.985675344165807,0.1985675344165807,0.27922564131975175,0.9999936683273316,1.00001159740448,10,0.005861705608368739,0,0,0,0,0,0.9997931630706788,0.9977820975875854,3.641968118902028,0.1456787247560811,0.9994876248931884,0.9999989135360716,1.000004695186615,25,0.002335180206299192,0,0,0,0,0,0.9999592883682252,0.9983764751052856,1.8188540951440029,0.09094270475720016,0.9998318178749084,1.0000002546405793,1.0002297265625,20,0.9260033912277224,0,0.2,0.2,0.2,0.2,0.8148603541946411,0.0767583115196228,1.0059881691585468,0.20119763383170935,0.4455579979515076,0.9989377124404908,1.0000003202056884,5,0.00336710712432875,0,0,0,0,0,0.9991842074489592,0.9978933794593812,2.1666626126119155,0.5416656531529789,0.9983320636844636,0.9993697567081452,0.9998879118061066,4
81796eba,updnet-ratio-100mice@20260703-200122,1,0.003,0.01,1,0.708256185054779,0.7136983871459961,0.9411656369876864,0,0.2,0.2,0.2,0.2,0.8117687745189667,0.058906452188491824,1.0001532041921193,0.20003064083842387,0.4353183550930024,0.999991701374054,1.00000498128891,5,1.4757445239543916,0,0,0.2,0.2,0.2,0.8524325503206253,0.1994276208972931,1.9856692406073737,0.19856692406073737,0.3122903896665573,1.000000850687027,1.0000207169151307,10,0.0023594475936895565,0,0,0,0,0,0.9999151284790038,0.9991420371627808,3.698531264847341,0.14794125059389365,0.9996364100074768,0.9999999268150328,1.0000170095062255,25,0.5554939485740666,0,0,0.05,0.05,0.05,0.9722321195697784,0.4469755752182007,1.0089435554015496,0.05044717777007748,0.9991295440292358,0.9999995691871644,1.0000194413757324,20,0.9271114279937746,0,0.2,0.2,0.2,0.2,0.8146236045455932,0.073421226272583,1.0011497660124589,0.20022995320249176,0.44385486675262453,0.9999620182609558,1.0001252276992798,5,0.00094936391830458,0,0,0,0,0,0.999875785241127,0.9995080096817016,2.4585368327760846,0.6146342081940211,0.9995570404624938,0.9997713131999968,1.000278107652664,4
c165b687,updnet-ratio-100mice@20260703-200122,2,0.0003,0.01,0,0.7228577733039856,0.7144671082496643,2.9091264953157308,0.4,0.6,0.6,0.6,0.6,0.4181817554107309,0.015032789128124712,2.9990693053322364,0.5998138610664473,0.016168307902514934,0.05811654535889626,0.9999621970748902,5,2.78682520565629,0,0.2,0.3,0.4,0.4,0.721360746974349,0.03792559860110283,3.4262864981253034,0.34262864981253033,0.06483872627675533,0.9997027082538604,1.0000703318214417,10,1.408858508243561,0,0,0.08,0.08,0.08,0.9437994392013548,0.26912965012550355,2.013810394785341,0.08055241579141365,0.9974553330039978,1.0000014169311524,1.0006403548812868,25,2.1359198640346526,0,0,0.1,0.2,0.25,0.8932348309254646,0.13269229365348817,3.2693614893361485,0.16346807446680742,0.5628692133522034,0.9999755187129974,1.0000386221504212,20,1.0009161950170995,0.2,0.2,0.2,0.2,0.2,0.7998167609965801,0.022795063832998275,1.0489421495119746,0.20978842990239496,0.40988241044640544,0.9941124184226988,0.9958971126174926,5,0.00958726903915419,0,0,0,0,0,0.9978775097227096,0.9947967393493652,2.179070140243094,0.5447675350607735,0.9952027363872528,0.9978079958057404,1.000607894191742,4
1ad83f71,updnet-ratio-100mice@20260703-200122,2,0.0003,0.01,0,0.723869264125824,0.7163837552070618,3.5406104539602996,0.6,0.6,0.8,0.8,0.8,0.2918779092079401,0.011129691655039789,3.8539109196328,0.7707821839265601,0.012414341623187063,0.02055278366267681,0.7653352840042115,5,3.927585113081932,0,0.1,0.5,0.6,0.6,0.607241493294239,0.05406762791633606,5.2725802845010925,0.5272580284501093,0.1094757763838768,0.6015362156724929,0.9999899609184264,10,1.9458929075765616,0,0,0.08,0.12,0.12,0.9222256316041946,0.17871764434337617,2.9017172852664803,0.11606869141065922,0.7455471975898744,0.9999031288719176,1.0002023799514772,25,2.2246778558254245,0,0,0.1,0.2,0.25,0.8887836931443214,0.23230625821113587,3.5683369476716256,0.17841684738358127,0.49459961486816406,0.9997335238552092,1.0000410420989991,20,0.9793124295091632,0.2,0.2,0.2,0.2,0.2,0.8041492415761947,0.022462756762504577,1.0036338300002086,0.20072676600004172,0.4130612744188309,0.999595747718811,0.9999031884765626,5,0.002995187721252623,0,0,0,0,0,0.9992512030696868,0.9989034397697448,3.5159126539827428,0.8789781634956857,0.9989517016506194,0.999256060848236,0.9995468182659148,4
3dcb9217,updnet-ratio-100mice@20260703-200122,2,0.0003,0.01,1,0.7161039113998413,0.7178652882575989,1.9733880705451967,0.4,0.4,0.4,0.4,0.4,0.6053255064582825,0.01009264534175396,2.000009671372813,0.40000193427456254,0.01266941523015499,0.9999896748161315,1.00000737739563,5,2.594299569251538,0,0.1,0.3,0.4,0.4,0.7405722728168964,0.05994754416704178,3.2519158733023374,0.32519158733023373,0.12116083113312724,0.9999967379665374,1.0000067634677887,10,0.5838285337448126,0,0,0.04,0.04,0.04,0.97666696144104,0.42512528730392457,1.0313214466552594,0.04125285786621038,0.9975549204444883,0.9999986751174926,1.0000586373901368,25,2.651634166693688,0,0,0.15,0.25,0.25,0.8674184164202213,0.1184300495481491,3.8730295975790487,0.19365147987895245,0.32378289831638335,0.9999913437461851,1.0000004692173006,20,1.8367980367755892,0.2,0.2,0.4,0.4,0.4,0.6328009648418427,0.023368121514320373,1.9953985848936164,0.3990797169787233,0.07062809599399568,0.9984268410301208,1.000437293777466,5,0.002076070518493789,0,0,0,0,0,0.9996318979358674,0.9988260133361816,2.293484736024474,0.5733711840061185,0.998977808485031,0.9995489580726624,1.0003523392772675,4
2408e539,updnet-ratio-100mice@20260703-200122,2,0.0003,0.01,1,0.7159115672111511,0.7151371240615845,2.8814821799707415,0.4,0.6,0.6,0.6,0.6,0.4237470818853379,0.01729748343884945,2.9969023967294897,0.5993804793458979,0.017596980387568472,0.08317411077976226,1.0001295192337036,5,4.233473402667642,0.1,0.2,0.5,0.5,0.6,0.5766529206356406,0.020077332312464714,4.983929733128072,0.4983929733128072,0.08286243567079306,0.6700147850608825,1.0000002486801147,10,0.706206807222367,0,0,0.04,0.04,0.04,0.9720343537425994,0.3063287301158905,1.0364054235232152,0.04145621694092861,0.997745285758972,0.9999985559082032,1.0006823642349243,25,2.653144178504944,0,0,0.15,0.25,0.25,0.8674404544925689,0.11728136373519896,3.718279815378791,0.1859139907689396,0.2687019927597046,0.999679998884201,1.000290213356018,20,1.9026304406535628,0.2,0.4,0.4,0.4,0.4,0.6199773272669316,0.026355107704401016,2.003898053886291,0.4007796107772582,0.04519410190939903,0.9975618584251404,1.0013244254684448,5,0.01105200716018695,0,0,0,0,0,0.9972369982099532,0.9956962926483154,3.061462668674112,0.7653656671685279,0.9959751350975036,0.9967363340950012,0.9988993926143646,4
