subject_id,true_preset,evallik_Bari2019,evallik_Hattori2019,evallik_RescorlaWagner,selected_baseline
synth000,Bari2019,0.5589660692947499,0.5569782513942779,0.5306932414960113,Bari2019
synth001,Hattori2019,0.5783055297951435,0.5785756416502684,0.5075436354120759,Hattori2019
synth002,RescorlaWagner,0.697972145681947,0.6942952018033676,0.6229677592007234,Bari2019
synth003,Bari2019,0.8793526628987199,0.840578858133523,0.6020007280270183,Bari2019
synth004,Hattori2019,0.7208958783442793,0.7248811302146935,0.626697779332833,Hattori2019
synth005,RescorlaWagner,0.6953939095658727,0.690435745611471,0.7131658051848841,RescorlaWagner
synth006,Bari2019,0.5225756537908445,0.5382281705501183,0.5014500850972636,Hattori2019
synth007,Hattori2019,0.7813688058679572,0.7818967640357266,0.6757419481701844,Hattori2019
synth008,RescorlaWagner,0.7127895772228482,0.7042775012429168,0.65395607476867,Bari2019
synth009,Bari2019,0.9857430054664844,0.977690773583344,0.8454948253174228,Bari2019
synth010,Hattori2019,0.9310954077203274,0.9359118210824872,0.8554362041989743,Hattori2019
synth011,RescorlaWagner,0.8202669644435012,0.8826456374168256,0.4202862746396766,Hattori2019
synth012,Bari2019,0.6096170681383165,0.6038817890809414,0.5567051687098649,Bari2019
synth013,Hattori2019,0.5814175068353505,0.5915989798199608,0.5471635172490565,Hattori2019
synth014,RescorlaWagner,0.6856571620393583,0.6534646674705865,0.527619314984017,Bari2019
synth015,Bari2019,0.8155002134032938,0.7891145115372726,0.6538673193273794,Bari2019
synth016,Hattori2019,0.8631260351823421,0.8645682045063523,0.7539698451173064,Hattori2019
synth017,RescorlaWagner,0.7833969290149814,0.7774655285670994,0.7922602255493518,RescorlaWagner
synth018,Bari2019,0.5511712044073896,0.5530058184038452,0.4859317305978339,Hattori2019
synth019,Hattori2019,0.9758673759331772,0.9805380627164488,0.8757232246936576,Hattori2019
synth020,RescorlaWagner,0.8071679181522006,0.8405688811955212,0.6255021554008164,Hattori2019
synth021,Bari2019,0.8934671976471096,0.8580212635932334,0.6156450484979118,Bari2019
synth022,Hattori2019,0.9195787383951324,0.9244012594358024,0.8227468443773838,Hattori2019
synth023,RescorlaWagner,0.8938399535692033,0.8882153753258083,0.8262417248290093,Bari2019
synth024,Bari2019,0.9623657457057236,0.9544076539771827,0.7004039605693033,Bari2019
synth025,Hattori2019,0.6277892597529339,0.6290113258992813,0.4849483455367375,Hattori2019
synth026,RescorlaWagner,0.758663533994469,0.7556560420850277,0.6821105785359256,Bari2019
synth027,Bari2019,0.6375656872963786,0.6208720083082336,0.5652805270655082,Bari2019
synth028,Hattori2019,0.8422932037471291,0.8618394879216561,0.7062257434868442,Hattori2019
synth029,RescorlaWagner,0.7123680472752958,0.7198446041773466,0.5406750161143364,Hattori2019
synth030,Bari2019,0.9214784745112428,0.8986384160791802,0.6810694672053368,Bari2019
synth031,Hattori2019,0.6239067973352077,0.6238246949643637,0.5682170516166771,Bari2019
synth032,RescorlaWagner,0.7236879832524856,0.7277315132135407,0.6359018476207134,Hattori2019
synth033,Bari2019,0.8362076153817892,0.7901233343103825,0.5738766621081349,Bari2019
synth034,Hattori2019,0.87258932160096,0.8740539131737803,0.7660996209382931,Hattori2019
synth035,RescorlaWagner,0.6813733788574919,0.6746625952221146,0.6391301254051147,Bari2019
synth036,Bari2019,0.7018501866619263,0.6922381363339817,0.5953338423395782,Bari2019
synth037,Hattori2019,0.7014676347495985,0.7055394432475329,0.6239749468475553,Hattori2019
synth038,RescorlaWagner,0.8199713924268742,0.8191920591895389,0.7456369762472355,Bari2019
synth039,Bari2019,0.5106186361674271,0.523207845818802,0.4963832990069793,Hattori2019
synth040,Hattori2019,0.8930337402765479,0.8951098675566794,0.7648290424691264,Hattori2019
synth041,RescorlaWagner,0.7212036984324961,0.7149166427393192,0.7322353007711626,RescorlaWagner
synth042,Bari2019,0.4712958308222905,0.4740923139408802,0.4354538429752909,Hattori2019
synth043,Hattori2019,0.7186655748787982,0.7225249436197273,0.6489012095550165,Hattori2019
synth044,RescorlaWagner,0.7402548242479917,0.7370084886554441,0.6235117297310248,Bari2019
synth045,Bari2019,0.5620136382944965,0.5611335360350689,0.5249719855187751,Bari2019
synth046,Hattori2019,0.8981978304490351,0.90073724196279,0.7737545051329918,Hattori2019
synth047,RescorlaWagner,0.8870115187928969,0.8848916445417602,0.802595061822917,Bari2019
synth048,Bari2019,0.933374110845552,0.905874312799468,0.5519021601861257,Bari2019
synth049,Hattori2019,0.532063821671218,0.5290638802263805,0.5025920515312279,Bari2019
synth050,RescorlaWagner,0.8552645394327208,0.8596315754666549,0.7900722295944782,Hattori2019
synth051,Bari2019,0.7834632328837868,0.7461984854083783,0.6135800796164362,Bari2019
synth052,Hattori2019,0.8880521123468489,0.8913994799431612,0.7848411330575228,Hattori2019
synth053,RescorlaWagner,0.7110981725095942,0.6740254900097701,0.6633513527604531,Bari2019
synth054,Bari2019,0.5208920569537336,0.5205751307681402,0.4800505738998235,Bari2019
synth055,Hattori2019,0.4866102366247065,0.4869538196175936,0.4729535952863374,Hattori2019
synth056,RescorlaWagner,0.8327833800887385,0.751671108962645,0.6169648835384596,Bari2019
synth057,Bari2019,0.8954595288188218,0.8622811059145367,0.5931733771912281,Bari2019
synth058,Hattori2019,0.8484919422307727,0.8507833855712632,0.7575833194981006,Hattori2019
synth059,RescorlaWagner,0.7580080564982895,0.7807944590049188,0.6052879620142355,Hattori2019
synth060,Bari2019,0.97269600390143,0.9606408934822086,0.5923737647988995,Bari2019
synth061,Hattori2019,0.5604806512285887,0.5605877043756717,0.4986243970106244,Hattori2019
synth062,RescorlaWagner,0.7163619816134392,0.7090653097332963,0.6410065762528732,Bari2019
synth063,Bari2019,0.9072510421833354,0.881336149721297,0.7304646947907449,Bari2019
synth064,Hattori2019,0.8222183710905623,0.8331703814183932,0.7441320764613741,Hattori2019
synth065,RescorlaWagner,0.7335254677263898,0.728783742181797,0.6791329474341116,Bari2019
synth066,Bari2019,0.6771674122993723,0.6633290627840703,0.56028789369778,Bari2019
synth067,Hattori2019,0.8033117358135582,0.8117617069341331,0.6979352671400879,Hattori2019
synth068,RescorlaWagner,0.7034736933216874,0.6968886299729712,0.6813492170212275,Bari2019
synth069,Bari2019,0.7184765254908293,0.714401395953863,0.58837690818832,Bari2019
synth070,Hattori2019,0.8385755220848764,0.841318700918584,0.7299136983503556,Hattori2019
synth071,RescorlaWagner,0.8617492947480153,0.8498199216223961,0.7886417336027034,Bari2019
synth072,Bari2019,0.7506048552695778,0.7625467285186552,0.583438247807732,Hattori2019
synth073,Hattori2019,0.7848118457460787,0.8010888357288943,0.6935150246990679,Hattori2019
synth074,RescorlaWagner,0.806850612779822,0.7952442609348703,0.8237044313840468,RescorlaWagner
synth075,Bari2019,0.6908423880353524,0.6895449847329805,0.5604880485154131,Bari2019
synth076,Hattori2019,0.9202716583940878,0.938134379901163,0.7352912489531388,Hattori2019
synth077,RescorlaWagner,0.6954962556322205,0.6895466713090511,0.617494500290518,Bari2019
synth078,Bari2019,0.9062006429008742,0.8862816616390624,0.5147246135490187,Bari2019
synth079,Hattori2019,0.6066283517835349,0.5999233799998472,0.5227192688020069,Bari2019
synth080,RescorlaWagner,0.7870845287902758,0.7814102191684212,0.711129045749067,Bari2019
synth081,Bari2019,0.7062600683059039,0.684419581302486,0.5819585635364636,Bari2019
synth082,Hattori2019,0.8113796963355043,0.8178109074116426,0.7173344119679586,Hattori2019
synth083,RescorlaWagner,0.7940857651221516,0.7992366792467239,0.7291276593502599,Hattori2019
synth084,Bari2019,0.8239446693859493,0.7837562058528991,0.5917844269906959,Bari2019
synth085,Hattori2019,0.6031054413717132,0.6047433287817626,0.5017183259948423,Hattori2019
synth086,RescorlaWagner,0.6637146250721183,0.6629715403922597,0.5791970773641295,Bari2019
synth087,Bari2019,0.9001628840663011,0.8725729249180655,0.5996446834225689,Bari2019
synth088,Hattori2019,0.889853329388011,0.8901788945745064,0.7653060515089984,Hattori2019
synth089,RescorlaWagner,0.6967407695819441,0.6934283039386637,0.7173252080929068,RescorlaWagner
synth090,Bari2019,0.8508488478472849,0.8039807740582174,0.5974070184016528,Bari2019
synth091,Hattori2019,0.8807856744927686,0.8890241684098706,0.8049569915534044,Hattori2019
synth092,RescorlaWagner,0.739955090901825,0.7456159722959409,0.6486567007282336,Hattori2019
synth093,Bari2019,0.875674152767706,0.821647430970971,0.5805973846770988,Bari2019
synth094,Hattori2019,0.8131915794924499,0.8159104795753537,0.7334773384768218,Hattori2019
synth095,RescorlaWagner,0.7500810852357079,0.7588919648544652,0.6313889797031358,Hattori2019
synth096,Bari2019,0.7726952195386501,0.7420987074658707,0.6130249846071386,Bari2019
synth097,Hattori2019,0.7673358297293025,0.7695928945628082,0.6527899762208982,Hattori2019
synth098,RescorlaWagner,0.8531924482487319,0.8366588877505687,0.7812387800352315,Bari2019
synth099,Bari2019,0.7188961474549469,0.6947686250888603,0.5887984969626139,Bari2019
synth100,Hattori2019,0.866809187253459,0.8672020831760657,0.7503523634065585,Hattori2019
synth101,RescorlaWagner,0.6630342255200439,0.6572572834047824,0.6244910035520836,Bari2019
synth102,Bari2019,0.4889987625099443,0.4939377183371164,0.4563633332223852,Hattori2019
synth103,Hattori2019,0.9489012551330764,0.9529177511659652,0.84566398649488,Hattori2019
synth104,RescorlaWagner,0.7100583545038358,0.7027964695100221,0.6394075711783327,Bari2019
synth105,Bari2019,0.5184929267601569,0.5265290793398301,0.4938308596580761,Hattori2019
synth106,Hattori2019,0.9655564321450056,0.970869573483608,0.8964593615139543,Hattori2019
synth107,RescorlaWagner,0.8260510188513357,0.863499192006691,0.579937412549709,Hattori2019
synth108,Bari2019,0.7173128371166799,0.7161211710890785,0.5797351336884119,Bari2019
synth109,Hattori2019,0.6663445019606509,0.6685094223683674,0.6001751761603115,Hattori2019
synth110,RescorlaWagner,0.628625222422015,0.6226764466820328,0.5417226324110495,Bari2019
synth111,Bari2019,0.7542387756302202,0.7424606197733056,0.5883550188936536,Bari2019
synth112,Hattori2019,0.7833471252607062,0.7945902620630821,0.6801825435721056,Hattori2019
synth113,RescorlaWagner,0.6493515298898,0.6422895750908353,0.5790692087960173,Bari2019
synth114,Bari2019,0.5924898998870805,0.5882318538523612,0.538479113340481,Bari2019
synth115,Hattori2019,0.8938781402952568,0.8965445563601487,0.7955082574432548,Hattori2019
synth116,RescorlaWagner,0.8402176874711498,0.8302593060831477,0.7598978741931106,Bari2019
synth117,Bari2019,0.5242439565737127,0.5317883474490483,0.4946964565091024,Hattori2019
synth118,Hattori2019,0.7831145935753666,0.8032218484221988,0.6922159286423505,Hattori2019
synth119,RescorlaWagner,0.8769132270583925,0.868424826710013,0.8011167398324593,Bari2019
synth120,Bari2019,0.842858995890259,0.8118107676785239,0.6270088108490457,Bari2019
synth121,Hattori2019,0.8457160700755375,0.8465534791668504,0.7418027873136053,Hattori2019
synth122,RescorlaWagner,0.805886103002534,0.7985288405388821,0.8135896807644801,RescorlaWagner
synth123,Bari2019,0.9467899663815128,0.9234117098369878,0.6242671472469387,Bari2019
synth124,Hattori2019,0.6747145371418057,0.6830502465425802,0.6164885022012413,Hattori2019
synth125,RescorlaWagner,0.7034255502643398,0.6796115179301799,0.6923064720362255,Bari2019
synth126,Bari2019,0.7065373930177005,0.6936943645793779,0.5927166384918248,Bari2019
synth127,Hattori2019,0.8346514747789079,0.8631741365522025,0.7671414892959676,Hattori2019
synth128,RescorlaWagner,0.8971964719643676,0.8977925365958739,0.8775843015126955,Hattori2019
synth129,Bari2019,0.9721345654763516,0.9609339206225108,0.5656697297012799,Bari2019
synth130,Hattori2019,0.8466627596520524,0.8461583991002529,0.7385613514444016,Bari2019
synth131,RescorlaWagner,0.7604623303342974,0.8007368205344795,0.6152106742361138,Hattori2019
synth132,Bari2019,0.8213690171427638,0.7709048830127465,0.572931767024584,Bari2019
synth133,Hattori2019,0.9435537743427964,0.9468327354121404,0.8617432515394337,Hattori2019
synth134,RescorlaWagner,0.6707631208111948,0.6510428864646232,0.6681121654867237,Bari2019
synth135,Bari2019,0.9586223405814456,0.9417028285722906,0.6453294759702891,Bari2019
synth136,Hattori2019,0.5857743237007351,0.5863821464742289,0.5028427064509559,Hattori2019
synth137,RescorlaWagner,0.7359799692927242,0.7364676016484331,0.6611840861448526,Hattori2019
synth138,Bari2019,0.7396054072618627,0.7167848890410294,0.5588589514762139,Bari2019
synth139,Hattori2019,0.7951444132386595,0.7959595640259983,0.6934196825852508,Hattori2019
synth140,RescorlaWagner,0.8249483832150075,0.8491988796571767,0.5719892281071309,Hattori2019
synth141,Bari2019,0.778630098079581,0.7631248020639311,0.6140496317461387,Bari2019
synth142,Hattori2019,0.5698189150043795,0.570460221619666,0.5048205957752705,Hattori2019
synth143,RescorlaWagner,0.6606713438778766,0.6130470327611527,0.5976877608595685,Bari2019
synth144,Bari2019,0.6345578278241107,0.6528448900223973,0.5403393451359844,Hattori2019
synth145,Hattori2019,0.6661655959950352,0.6859669864378042,0.6255225535019584,Hattori2019
synth146,RescorlaWagner,0.6929905272232741,0.7531449463164447,0.4435752410482282,Hattori2019
synth147,Bari2019,0.6147261890098085,0.6125362405477135,0.5703106284409638,Bari2019
synth148,Hattori2019,0.8862326854805562,0.8888986475022385,0.7776455234010103,Hattori2019
synth149,RescorlaWagner,0.9177686724850148,0.9117749390476756,0.8767058685596409,Bari2019
synth150,Bari2019,0.9266065409378892,0.891603746985014,0.5092810573904689,Bari2019
synth151,Hattori2019,0.7026963846527174,0.7068228845722135,0.5469408226591129,Hattori2019
synth152,RescorlaWagner,0.8294759299880851,0.8397425968280092,0.5155478410657143,Hattori2019
synth153,Bari2019,0.6591523279138718,0.6448253713979443,0.5721300621997878,Bari2019
synth154,Hattori2019,0.8509003374146478,0.8538219061651082,0.7525922790937151,Hattori2019
synth155,RescorlaWagner,0.8073399050487267,0.7964456978025817,0.7777757131806262,Bari2019
synth156,Bari2019,0.9164051122572312,0.9034222767694416,0.6428398840341574,Bari2019
synth157,Hattori2019,0.9020379837955628,0.9085916931469498,0.7080758385240788,Hattori2019
synth158,RescorlaWagner,0.9258197435822704,0.916552309436798,0.8749130910801317,Bari2019
synth159,Bari2019,0.7907268329825761,0.8205040037715687,0.5728783012354607,Hattori2019
synth160,Hattori2019,0.8766256094689496,0.8796066540524957,0.7796764310728778,Hattori2019
synth161,RescorlaWagner,0.90458118688698,0.8993214494921081,0.8374618542460853,Bari2019
synth162,Bari2019,0.9410548692921976,0.915535046317906,0.5461627645614617,Bari2019
synth163,Hattori2019,0.6230561826789741,0.6260520287109342,0.5181661020789978,Hattori2019
synth164,RescorlaWagner,0.7047176101052992,0.6962890551624018,0.7235483349960921,RescorlaWagner
synth165,Bari2019,0.8118966998355082,0.7758241231398302,0.573260048532314,Bari2019
synth166,Hattori2019,0.863742064441796,0.8657785512890527,0.7567098227614302,Hattori2019
synth167,RescorlaWagner,0.7648505059519802,0.7575595705855153,0.7207924545162532,Bari2019
synth168,Bari2019,0.7147588119477782,0.7078784759611919,0.5953231992455197,Bari2019
synth169,Hattori2019,0.6639345715897491,0.6498853572956338,0.6192626830533206,Bari2019
synth170,RescorlaWagner,0.6709527189116312,0.6915431284635728,0.4986118875554133,Hattori2019
synth171,Bari2019,0.5216175553834647,0.5221403244230794,0.4912954778123709,Hattori2019
synth172,Hattori2019,0.7044446812304795,0.7217171397116584,0.6012769272006979,Hattori2019
synth173,RescorlaWagner,0.7414603901930564,0.7771472336568112,0.5328694141284082,Hattori2019
synth174,Bari2019,0.7486429878268841,0.7287345129142393,0.600275375183974,Bari2019
synth175,Hattori2019,0.7905587138031464,0.8083534639054529,0.719735770518867,Hattori2019
synth176,RescorlaWagner,0.9069981709376,0.904460634402071,0.5974446630220284,Bari2019
synth177,Bari2019,0.9407110509850986,0.9200509010956222,0.6221837133830942,Bari2019
synth178,Hattori2019,0.6379417660348617,0.6428746770225623,0.5851804722391482,Hattori2019
synth179,RescorlaWagner,0.6941842200937509,0.7021774221529429,0.5980776492048837,Hattori2019
synth180,Bari2019,0.585266282766272,0.5847440291328625,0.5218673478683616,Bari2019
synth181,Hattori2019,0.6758351699992577,0.6802615997668163,0.5628382857264721,Hattori2019
synth182,RescorlaWagner,0.8139052532853196,0.8158288243693406,0.6024674048828016,Hattori2019
synth183,Bari2019,0.6553994996565683,0.6431657273136805,0.5600688013999597,Bari2019
synth184,Hattori2019,0.8335543687789712,0.8346474781707351,0.7213346175668723,Hattori2019
synth185,RescorlaWagner,0.8510000156037962,0.8573783421884079,0.6558714204125167,Hattori2019
synth186,Bari2019,0.6800992050205816,0.6767326610998334,0.57734276066884,Bari2019
synth187,Hattori2019,0.5879128848741417,0.5913171522201026,0.4870243020287619,Hattori2019
synth188,RescorlaWagner,0.7791670274011969,0.7679368572865758,0.7967993358842165,RescorlaWagner
synth189,Bari2019,0.8157479560072906,0.7911405987233043,0.6433366647616942,Bari2019
synth190,Hattori2019,0.7931088491431646,0.8065446847505928,0.6639026467659113,Hattori2019
synth191,RescorlaWagner,0.7861434090135138,0.7870125526808464,0.6667239821177641,Hattori2019
synth192,Bari2019,0.9602504125553936,0.947751887691191,0.6119758277980374,Bari2019
synth193,Hattori2019,0.8341553747722484,0.8534054033405978,0.7233305956571903,Hattori2019
synth194,RescorlaWagner,0.6998391766179399,0.686411731049432,0.6421945261933665,Bari2019
synth195,Bari2019,0.5319156085584282,0.5331066348858501,0.5056426839378984,Hattori2019
synth196,Hattori2019,0.7091478703254914,0.7100599188466952,0.6312202932751656,Hattori2019
synth197,RescorlaWagner,0.6668200937691064,0.6539168756146758,0.6664307228595019,Bari2019
synth198,Bari2019,0.7563726124768724,0.7384231049478045,0.574089489751823,Bari2019
synth199,Hattori2019,0.6221078168676617,0.6222872385389786,0.5800262696240954,Hattori2019
